"sname"	"Nmax"	"numclones"	"Nevent"	"tevent"	"s"	"pctfit"	"clonetime"	"clonemuts"	"br"	"dr"	"mu"	"b"	"d"	"tend"	"clonalmuts"	"area"	"area_pval"	"Dk"	"Dk_pval"	"meanD"	"meanD_pval"	"rsq"	"rsq_pval"	"fmin"	"fmax"	"det_limit"	"ploidy"	"read_depth"	"num_muts"	"draw"
"10"	10000	1	"1051"	"10.49380101072244"	"8.540724509045482"	"0.7264"	"10.496704832502026"	"156"	"0.6931471805599453,6.6131262939440445"	"0.0,0.0"	8.110941915001682	0.6931471805599453	0.0	11.870713409994403	885	0.38960703614336945	0.0	0.7594624546625478	0.0	0.5553729816141054	0.0	0.38416374859412805	0.0	0.02	0.6	0.02	2	1200.0	1333.0	61.0
"10"	10000	1	"860"	"9.676687050139016"	"7.879094539310138"	"0.7413"	"9.678804807557086"	"127"	"0.6931471805599453,6.154519345848029"	"0.0,0.0"	10.010253990900996	0.6931471805599453	0.0	11.19382912544514	903	0.37445990932667633	0.0	0.7351111488961493	0.0	0.5454442341739266	0.0	0.38298420147595935	0.0	0.02	0.6	0.02	2	1200.0	1346.0	61.0
"10"	10000	1	"848"	"10.663162890350172"	"6.969907638416294"	"0.7059"	"10.663204921057122"	"154"	"0.6931471805599453,5.5243190088914265"	"0.0,0.0"	7.97395785800187	0.6931471805599453	0.0	12.41673643386392	873	0.4061729366458226	0.0	0.7599081747802747	0.0	0.5619052066473572	0.0	0.3897323787629918	0.0	0.02	0.6	0.02	2	1200.0	1297.0	62.0
"10"	10000	1	"735"	"8.163902298865725"	"5.264207738342273"	"0.6252"	"8.16436757995928"	"172"	"0.6931471805599453,4.3420179322737384"	"0.0,0.0"	7.6038446451856885	0.6931471805599453	0.0	10.518508295560556	888	0.3935926284907315	0.0	0.7747998958922446	0.0	0.5592516187087823	0.0	0.3853860697699637	0.0	0.02	0.6	0.02	2	1200.0	1315.0	55.0
"10"	10000	1	"1283"	"9.232929792092627"	"7.284897649599414"	"0.5477"	"9.233187716654873"	"143"	"0.6931471805599453,5.742653447047552"	"0.0,0.0"	7.020152702885795	0.6931471805599453	0.0	11.030127540820175	935	0.3997303820986881	0.0	0.7746921736109819	0.0	0.5675444924997666	0.0	0.38162210087835224	0.0	0.02	0.6	0.02	2	1200.0	1308.0	60.0
"10"	10000	1	"1773"	"11.634176359442103"	"8.282351111574542"	"0.5"	"11.634495421953876"	"128"	"0.6931471805599453,6.434035501955368"	"0.0,0.0"	7.821672936465962	0.6931471805599453	0.0	13.169421615264381	941	0.38820558480042805	0.0	0.7424316167247522	0.0	0.552354784585458	0.0	0.3843419998238785	0.0	0.02	0.6	0.02	2	1200.0	1337.0	64.0
"10"	10000	1	"977"	"8.441332140688873"	"6.636060803875374"	"0.697"	"8.442147081928177"	"117"	"0.6931471805599453,5.292914016790525"	"0.0,0.0"	7.248761166568986	0.6931471805599453	0.0	10.049225290174451	925	0.3874861176412661	0.0	0.7520187169605891	0.0	0.5570079288372005	0.0	0.3809868015497586	0.0	0.02	0.6	0.02	2	1200.0	1329.0	61.0
"10"	10000	1	"847"	"10.24189989500691"	"5.688957766142869"	"0.6985"	"10.243669438181056"	"147"	"0.6931471805599453,4.6364322164864795"	"0.0,0.0"	9.078456070696522	0.6931471805599453	0.0	12.108472642121345	891	0.3912567515923709	0.0	0.7509494314364444	0.0	0.5513868398358903	0.0	0.38709762747693977	0.0	0.02	0.6	0.02	2	1200.0	1336.0	65.0
"10"	10000	1	"861"	"8.43544117356161"	"5.701178866514543"	"0.6061"	"8.436065424807195"	"156"	"0.6931471805599453,4.6449032377524455"	"0.0,0.0"	8.496976258489482	0.6931471805599453	0.0	10.539029664916493	905	0.38538657497047857	0.0	0.7504501033958846	0.0	0.5484719593064609	0.0	0.3869033290494386	0.0	0.02	0.6	0.02	2	1200.0	1340.0	59.0
"10"	10000	1	"637"	"9.121873935402085"	"4.111727814305903"	"0.6203"	"9.123618761883964"	"114"	"0.6931471805599453,3.543179722275988"	"0.0,0.0"	9.854232568688442	0.6931471805599453	0.0	11.637773890265189	911	0.38592759681615457	0.0	0.7219544014503636	0.0	0.5386621069030342	0.0	0.39604214686530737	0.0	0.02	0.6	0.02	2	1200.0	1346.0	65.0
"10"	10000	1	"2037"	"11.01988257900764"	"9.630363908886956"	"0.5922"	"11.020022708172345"	"135"	"0.6931471805599453,7.368406771771193"	"0.0,0.0"	6.58204674167842	0.6931471805599453	0.0	12.026200190426202	937	0.4105165392587643	0.0	0.791106272245238	0.0	0.5825212928023555	0.0	0.3771630381271822	0.0	0.02	0.6	0.02	2	1200.0	1283.0	57.0
"10"	10000	1	"671"	"8.014613204864693"	"7.732940930108058"	"0.7454"	"8.017071557289272"	"153"	"0.6931471805599453,6.053213383700946"	"0.0,0.0"	9.402678562612866	0.6931471805599453	0.0	9.927140916111245	864	0.37156560401121885	0.0	0.7286969348458396	0.0	0.5378624869459397	0.0	0.3860286651480561	0.0	0.02	0.6	0.02	2	1200.0	1345.0	65.0
"10"	10000	1	"576"	"9.434662811254825"	"4.095058062499909"	"0.721"	"9.441193046292273"	"96"	"0.6931471805599453,3.5316251308110296"	"0.0,0.0"	6.299117682844012	0.6931471805599453	0.0	11.743715429833754	934	0.41646653610045564	0.0	0.7776737967914438	0.0	0.579708498316378	0.0	0.38039811797889467	0.0	0.02	0.6	0.02	2	1200.0	1276.0	63.0
"10"	10000	1	"1409"	"10.964455805620643"	"7.776292296098354"	"0.5593"	"10.966001112028238"	"142"	"0.6931471805599453,6.083262260810543"	"0.0,0.0"	6.56367992653462	0.6931471805599453	0.0	12.631270984390586	904	0.4065472709428678	0.0	0.754996860544087	0.0	0.556399618671811	0.0	0.39470374371993733	0.0	0.02	0.6	0.02	2	1200.0	1305.0	64.0
