pval,areametric,Dkmetric,invrsqmetric,meanDmetric
0.748,0.023782133,0.075954538,0.00340421,0.030690162
0.747,0.023881531,0.076091567,0.003417644,0.030755135
0.746,0.02397437,0.076222646,0.00342919,0.030821677
0.745,0.024070629,0.076358155,0.00344257,0.03088865
0.744,0.024164726,0.076497175,0.003456518,0.030953314
0.743,0.024263437,0.076630396,0.003470522,0.031015256
0.742,0.024365142,0.07675986,0.003483086,0.03107703
0.741,0.024462196,0.076889974,0.003495707,0.03114102
0.74,0.024558789,0.07703227,0.003509159,0.031204031
0.739,0.024657988,0.077174295,0.00352206,0.031267424
0.738,0.024756771,0.077294686,0.003535194,0.0313313
0.737,0.024854318,0.077424943,0.003549353,0.031401936
0.736,0.024952443,0.077554907,0.003562476,0.031470918
0.735,0.025047969,0.077686806,0.003575838,0.031539056
0.734,0.02514694,0.077798024,0.003588271,0.031605236
0.733,0.025250107,0.077941621,0.003601237,0.031670064
0.732,0.025346586,0.078068928,0.003615275,0.031734758
0.731,0.0254433,0.078198287,0.003628244,0.031799793
0.73,0.025537481,0.078333333,0.003642051,0.031865368
0.729,0.025634764,0.07845706,0.003654114,0.031931124
0.728,0.025727969,0.078580571,0.003667525,0.031998281
0.727,0.025829059,0.078722362,0.003681316,0.032066109
0.726,0.025928125,0.0788585,0.003694906,0.032134547
0.725,0.026025615,0.078990048,0.003708367,0.032204763
0.724,0.026121522,0.079123995,0.003721448,0.032271436
0.723,0.026218126,0.079243557,0.003734535,0.032334692
0.722,0.026317581,0.07937627,0.003747677,0.032398213
0.721,0.02641641,0.079513267,0.003761086,0.032467051
0.72,0.026518222,0.079643037,0.003774573,0.03252936
0.719,0.02662063,0.079788652,0.003787297,0.032596535
0.718,0.026723544,0.07993185,0.003801044,0.032662115
0.717,0.026826144,0.080058304,0.00381487,0.032728846
0.716,0.026925471,0.080199005,0.00382849,0.032793046
0.715,0.027024169,0.080335952,0.003842003,0.032856824
0.714,0.027122714,0.080463358,0.003855207,0.032923097
0.713,0.027219692,0.080604471,0.003870202,0.032989557
0.712,0.027318465,0.080729167,0.003883866,0.033057255
0.711,0.02741846,0.080857705,0.003898383,0.033124272
0.71,0.027523332,0.080976583,0.003912209,0.033191242
0.709,0.02761881,0.081120252,0.003926026,0.03325427
0.708,0.027714423,0.081251884,0.003939755,0.033325188
0.707,0.027814419,0.081385281,0.003953498,0.033392655
0.706,0.027914222,0.081515152,0.003966351,0.033457691
0.705,0.028014778,0.081652302,0.003979956,0.033522895
0.704,0.028108922,0.08178333,0.003993897,0.0335861
0.703,0.028202484,0.081913177,0.004007782,0.033652744
0.702,0.028302302,0.082048413,0.004021166,0.033719934
0.701,0.028400964,0.082174254,0.004034954,0.033784159
0.7,0.028496506,0.082313603,0.004048893,0.033850388
0.699,0.028601098,0.082445254,0.004062325,0.033917669
0.698,0.028704121,0.082578885,0.004075791,0.033985619
0.697,0.028803173,0.082717826,0.004089782,0.034057264
0.696,0.028895903,0.082852911,0.004104546,0.034121411
0.695,0.029000599,0.082985153,0.004117768,0.034185587
0.694,0.029102875,0.083116883,0.004132301,0.034254822
0.693,0.029208198,0.083255965,0.004145289,0.034324821
0.692,0.029312487,0.083350095,0.004159522,0.03438896
0.691,0.029414453,0.083497893,0.004172136,0.034453494
0.69,0.029516459,0.083629637,0.004186254,0.034520733
0.689,0.029616534,0.083757718,0.004200143,0.034583362
0.688,0.02971547,0.083896396,0.00421441,0.03465594
0.687,0.029817601,0.084031896,0.004228245,0.034721187
0.686,0.029921366,0.084166667,0.004242126,0.034782579
0.685,0.030021716,0.084291451,0.004255702,0.034849537
0.684,0.030124415,0.084423044,0.004270029,0.034918636
0.683,0.030223273,0.084557553,0.004284479,0.03498617
0.682,0.03031937,0.084692432,0.004300263,0.035050557
0.681,0.030422221,0.08483373,0.00431484,0.03512381
0.68,0.030523549,0.084962836,0.004328911,0.035193613
0.679,0.03062109,0.085103918,0.004342201,0.035261767
0.678,0.03071726,0.085237818,0.004356595,0.035329126
0.677,0.030816277,0.085383244,0.004371974,0.03539796
0.676,0.030919401,0.085514915,0.004387605,0.035464368
0.675,0.031016377,0.085658346,0.004401863,0.035531387
0.674,0.031119717,0.085785081,0.004416248,0.03560473
0.673,0.03121944,0.085917568,0.004431165,0.035669967
0.672,0.031317173,0.086062337,0.004447038,0.035738733
0.671,0.031416694,0.086195286,0.004462154,0.03580422
0.67,0.031515545,0.086327666,0.004476776,0.035876445
0.669,0.031612258,0.086453543,0.00449093,0.035947223
0.668,0.031709979,0.086597076,0.004506005,0.03601465
0.667,0.031805785,0.086725158,0.004521762,0.036086356
0.666,0.031909898,0.086858974,0.004536487,0.036151784
0.665,0.032004144,0.087001287,0.004552891,0.036222708
0.664,0.032103397,0.087136921,0.004567641,0.036288663
0.663,0.03220645,0.087272727,0.004581751,0.036354914
0.662,0.032308709,0.087403761,0.004596767,0.036424689
0.661,0.032410205,0.087533735,0.004611045,0.036488903
0.66,0.032502639,0.087673058,0.004626624,0.036562868
0.659,0.032599615,0.087815866,0.004642205,0.036637189
0.658,0.032698842,0.087952532,0.004657781,0.036707852
0.657,0.032798891,0.088095238,0.004673562,0.036777907
0.656,0.032900742,0.088235294,0.004688667,0.036844221
0.655,0.032993497,0.088364645,0.004704872,0.03691528
0.654,0.033091416,0.088505747,0.004720776,0.036982531
0.653,0.033194129,0.088636364,0.004736161,0.037047883
0.652,0.033297145,0.088770053,0.004751151,0.037117883
0.651,0.033402405,0.08890641,0.004766204,0.037188488
0.65,0.033499375,0.089059372,0.004780894,0.037252997
0.649,0.033601986,0.089189189,0.004795597,0.037327035
0.648,0.033706619,0.089323164,0.004809649,0.037392541
0.647,0.033803619,0.089449838,0.004825208,0.037462939
0.646,0.03390621,0.089586216,0.004839641,0.037530265
0.645,0.034005738,0.089725344,0.004854623,0.037605126
0.644,0.034105714,0.089858662,0.004871005,0.037677077
0.643,0.034213746,0.090001433,0.004885887,0.037743473
0.642,0.03431057,0.090145832,0.004901773,0.03781835
0.641,0.034409523,0.090277778,0.004917407,0.037892562
0.64,0.034508988,0.090418354,0.004932718,0.037965725
0.639,0.034613914,0.090552585,0.004947608,0.038034408
0.638,0.034706692,0.090696364,0.004964287,0.038106699
0.637,0.034811264,0.090830863,0.004980285,0.038180117
0.636,0.034911907,0.09096162,0.00499547,0.038253929
0.635,0.035013426,0.091101172,0.005010051,0.038333934
0.634,0.035116733,0.091238334,0.005026557,0.038405871
0.633,0.035216128,0.091383799,0.00504177,0.038476444
0.632,0.035312606,0.091534392,0.005058602,0.038543985
0.631,0.03541607,0.091666667,0.005074995,0.038617378
0.63,0.035512593,0.0918144,0.005090652,0.038687402
0.629,0.03561889,0.09195097,0.005106975,0.038761748
0.628,0.035725633,0.092085803,0.005121563,0.038833788
0.627,0.035832736,0.092222222,0.005137494,0.038908903
0.626,0.035940602,0.092356075,0.005152696,0.038975309
0.625,0.036046876,0.092496712,0.005168653,0.039045754
0.624,0.036151525,0.092638748,0.00518462,0.039119852
0.623,0.036260441,0.092783303,0.005201225,0.039188698
0.622,0.036362688,0.092916667,0.005217305,0.039260681
0.621,0.036461585,0.093048492,0.005233505,0.039333682
0.62,0.036572482,0.093194227,0.005250544,0.03940829
0.619,0.036674171,0.093333333,0.005267629,0.039482594
0.618,0.036785524,0.093462565,0.005284207,0.039559769
0.617,0.036894047,0.093603166,0.005300107,0.039631401
0.616,0.037000959,0.09375,0.00531696,0.039701341
0.615,0.037102268,0.093896188,0.005333454,0.039777425
0.614,0.037208128,0.094035088,0.005350709,0.039849657
0.613,0.03730681,0.094178531,0.005368219,0.039920049
0.612,0.037418471,0.094316436,0.005385048,0.039995385
0.611,0.037527458,0.094465059,0.005401135,0.040069984
0.61,0.037630692,0.094597726,0.005418018,0.040144229
0.609,0.037738193,0.094749256,0.00543557,0.04021724
0.608,0.037837445,0.094889397,0.00545215,0.040294424
0.607,0.037942426,0.095032977,0.005469467,0.040366838
0.606,0.03805354,0.095175439,0.005485752,0.040439819
0.605,0.038155365,0.095307944,0.005503441,0.040510367
0.604,0.038256103,0.095445721,0.005519634,0.040590736
0.603,0.03835762,0.095586494,0.005535941,0.040657329
0.602,0.038452484,0.095726496,0.005552475,0.040735079
0.601,0.038553564,0.095862069,0.005569791,0.040807508
0.6,0.038667021,0.096007984,0.005589009,0.040883107
0.599,0.038769436,0.096148586,0.005606313,0.0409577
0.598,0.03887973,0.096292694,0.005621913,0.041032543
0.597,0.038982136,0.096428571,0.005639711,0.041109093
0.596,0.039088534,0.096568047,0.005656554,0.041185757
0.595,0.039195403,0.096703297,0.005673805,0.04126173
0.594,0.039307141,0.096852374,0.005691111,0.041342056
0.593,0.039419374,0.096985072,0.005708381,0.041414273
0.592,0.039518816,0.09714163,0.005726558,0.041487538
0.591,0.039615356,0.097280202,0.005744145,0.041565738
0.59,0.039722813,0.097412008,0.005761284,0.041645136
0.589,0.039826864,0.097552621,0.00577912,0.041720003
0.588,0.03993451,0.097688684,0.005797518,0.041793885
0.587,0.040042696,0.097835498,0.005816683,0.041864584
0.586,0.040152249,0.097991968,0.00583388,0.04194041
0.585,0.040257087,0.098133023,0.005851967,0.042020267
0.584,0.04037012,0.098272739,0.005869371,0.042096076
0.583,0.040474552,0.098417745,0.005887963,0.04217386
0.582,0.040574589,0.098563075,0.005906955,0.042247182
0.581,0.040673541,0.098708535,0.005925448,0.042318336
0.58,0.040784993,0.098850575,0.005942625,0.042399922
0.579,0.040896001,0.098991443,0.005960723,0.042476752
0.578,0.041011253,0.099134199,0.005978842,0.042553268
0.577,0.041112882,0.099281107,0.005996212,0.042636027
0.576,0.041215919,0.099421149,0.006014712,0.042712506
0.575,0.04132542,0.099563238,0.006032907,0.04278821
0.574,0.041432531,0.099711479,0.006052252,0.042867136
0.573,0.041550708,0.099868545,0.006069821,0.042948035
0.572,0.041650757,0.1,0.006088353,0.043025985
0.571,0.041762515,0.100121215,0.006107184,0.043107947
0.57,0.041867998,0.100284241,0.006125301,0.043189708
0.569,0.041971282,0.100430668,0.006143359,0.04326785
0.568,0.042076375,0.10057971,0.006162741,0.043347032
0.567,0.042189308,0.100727623,0.006181054,0.043425274
0.566,0.042300013,0.100877193,0.006200167,0.043505205
0.565,0.042405973,0.10102781,0.006218089,0.043584827
0.564,0.042505187,0.101176471,0.006237311,0.043662699
0.563,0.04262409,0.101323902,0.006257746,0.043740812
0.562,0.042731482,0.10147526,0.006276616,0.043824911
0.561,0.042840972,0.10162327,0.006297768,0.043902022
0.56,0.042949684,0.101769885,0.006315972,0.043985839
0.559,0.04305303,0.101911253,0.006335459,0.044061613
0.558,0.043160883,0.102055675,0.006354341,0.044141706
0.557,0.043274157,0.102203857,0.006373325,0.044221154
0.556,0.043383428,0.102358319,0.006393373,0.044301106
0.555,0.043501036,0.1025,0.006411772,0.044378574
0.554,0.043610987,0.10264653,0.006431364,0.04445506
0.553,0.043720963,0.10279208,0.006449309,0.044533708
0.552,0.043828512,0.102941176,0.006468632,0.044614746
0.551,0.043940131,0.103082306,0.006486418,0.044695275
0.55,0.044052806,0.103244838,0.006505566,0.044780186
0.549,0.044160959,0.103385417,0.006525321,0.04485793
0.548,0.044275933,0.103519669,0.006545229,0.044940638
0.547,0.044379622,0.10367428,0.006565963,0.045025899
0.546,0.044488617,0.103828198,0.006585352,0.045107189
0.545,0.044596368,0.103972714,0.006603165,0.045193083
0.544,0.044715468,0.10411449,0.006621985,0.045280011
0.543,0.044822234,0.104267589,0.00664136,0.045360736
0.542,0.044937333,0.104409151,0.006662545,0.045439954
0.541,0.045049651,0.104575163,0.006682865,0.045515163
0.54,0.045160319,0.104727237,0.006702308,0.045597973
0.539,0.04527148,0.104867006,0.006720928,0.045681955
0.538,0.045381273,0.105027414,0.006742129,0.045768039
0.537,0.045497943,0.105174605,0.006762517,0.045850629
0.536,0.045616744,0.105322918,0.006784586,0.045931403
0.535,0.045734022,0.105476441,0.006804108,0.046013058
0.534,0.045847779,0.105619946,0.006823728,0.046096304
0.533,0.045958163,0.105772032,0.006843921,0.046180267
0.532,0.046066991,0.105923021,0.006865031,0.046265681
0.531,0.046177042,0.106071033,0.006884844,0.046346881
0.53,0.04628943,0.106228963,0.006905193,0.046431382
0.529,0.04639973,0.106382385,0.006926257,0.046512806
0.528,0.046511931,0.106538591,0.006947527,0.046595771
0.527,0.046635148,0.106666667,0.006968778,0.046684364
0.526,0.046749666,0.106822612,0.006990446,0.046767254
0.525,0.046866117,0.106982969,0.007011846,0.046847178
0.524,0.046975038,0.107142464,0.007032804,0.046936453
0.523,0.047085069,0.107299454,0.007054299,0.047019668
0.522,0.047193507,0.107438017,0.00707333,0.047102643
0.521,0.047306539,0.107599699,0.00709406,0.047187955
0.52,0.0474158,0.107754924,0.007117774,0.047273898
0.519,0.047520898,0.107905637,0.007138339,0.047363302
0.518,0.04762826,0.108051301,0.007159566,0.047458797
0.517,0.047745585,0.108206909,0.007179478,0.04753837
0.516,0.047851381,0.108352234,0.007201675,0.047617275
0.515,0.04796119,0.108523658,0.007224127,0.047699109
0.514,0.04806933,0.108679337,0.007245616,0.047786507
0.513,0.048185476,0.1088337,0.007266776,0.047873885
0.512,0.048293055,0.108999038,0.007290136,0.047960075
0.511,0.048408548,0.109153686,0.007312349,0.048047113
0.51,0.048518034,0.109313253,0.007332245,0.048129577
0.509,0.048626131,0.109473684,0.007354361,0.048214993
0.508,0.048735427,0.109620055,0.007374792,0.048305696
0.507,0.048850275,0.109784003,0.007396445,0.048394524
0.506,0.048969455,0.109942478,0.007420059,0.048476886
0.505,0.049087976,0.110089865,0.007441735,0.0485604
0.504,0.049195549,0.110247613,0.007462759,0.048645434
